[1008/212433.169:ERROR:process_reader_win.cc(188)] ResumeThread: 參數錯誤。 (0x57)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.171:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:process_reader_win.cc(151)] SuspendThread: 存取被拒。 (0x5)
[1008/212433.172:ERROR:exception_snapshot_win.cc(99)] thread ID 7416 not found in process
[1008/212433.172:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: 嘗試存取現有的處理程序。 (0xc000010a)
